id,hotel_cluster
98179,"[42, 16, 15, 19, 18]"
98179,"[91, 11, 18, 99, 72]"
98179,"[91, 11, 18, 99, 72]"
98179,"[42, 95, 33, 16, 19]"
99288,"[91, 29, 92, 41, 48]"
101809,"[29, 11, 36, 9, 42]"
102740,"[59, 11, 18, 94, 9]"
104427,"[91, 50, 28, 13, 94]"
104427,"[10, 38, 91, 41, 48]"
105006,"[99, 22, 64, 8, 78]"
105006,"[5, 68, 97, 59, 2]"
107230,"[29, 82, 25, 30, 11]"
107230,"[99, 22, 64, 8, 78]"
107230,"[81, 82, 3, 30, 89]"
107230,"[81, 82, 3, 30, 89]"
107230,"[22, 8, 64, 78, 58]"
112605,"[63, 36, 58, 44, 64]"
113642,"[68, 56, 70, 41, 98]"
115700,"[18, 65, 66, 52, 87]"
115952,"[81, 61, 57, 12, 63]"
115952,"[81, 61, 57, 12, 63]"
115952,"[81, 61, 57, 12, 63]"
117319,"[91, 41, 48, 64, 65]"
117319,"[91, 41, 48, 64, 65]"
117339,"[34, 96, 48, 91, 16]"
120139,"[1, 45, 79, 24, 88]"
121002,"[91, 76, 7, 41, 48]"
121243,"[13, 42, 91, 41, 48]"
121433,"[56, 4, 49, 48, 98]"
121433,"[68, 95, 18, 40, 9]"
124176,"[25, 64, 5, 11, 97]"
137528,"[16, 42, 77, 76, 91]"
137528,"[91, 41, 48, 64, 65]"
141655,"[25, 44, 8, 22, 91]"
141655,"[38, 8, 86, 67, 3]"
141655,"[91, 41, 48, 64, 65]"
141655,"[55, 9, 21, 18, 68]"
145312,"[91, 95, 69, 13, 94]"
146512,"[77, 16, 32, 18, 72]"
146512,"[71, 34, 18, 77, 54]"
151108,"[65, 66, 52, 87, 96]"
153259,"[99, 37, 16, 60, 36]"
153259,"[48, 91, 41, 64, 65]"
153259,"[59, 42, 15, 61, 62]"
153259,"[21, 4, 6, 2, 61]"
153259,"[48, 91, 41, 64, 65]"
153259,"[61, 33, 91, 41, 48]"
153259,"[16, 64, 21, 20, 25]"
153259,"[41, 83, 17, 21, 91]"
154806,"[59, 11, 18, 94, 9]"
154806,"[51, 59, 91, 41, 48]"
154806,"[91, 41, 48, 64, 65]"
154806,"[91, 55, 68, 18, 95]"
154806,"[18, 4, 91, 16, 33]"
154806,"[18, 49, 51, 13, 39]"
154806,"[2, 95, 69, 41, 68]"
154806,"[91, 59, 37, 25, 18]"
154806,"[95, 42, 91, 4, 16]"
154806,"[16, 77, 40, 11, 28]"
154806,"[18, 13, 91, 95, 77]"
156010,"[59, 77, 95, 33, 91]"
156010,"[9, 68, 99, 21, 70]"
156010,"[91, 37, 7, 32, 18]"
156010,"[21, 28, 7, 91, 11]"
156010,"[18, 95, 91, 48, 16]"
156010,"[28, 91, 48, 59, 68]"
159401,"[95, 69, 41, 68, 9]"
163041,"[49, 4, 23, 28, 19]"
163041,"[39, 31, 91, 4, 19]"
163041,"[32, 48, 91, 41, 64]"
165579,"[1, 45, 79, 24, 88]"
165810,"[32, 59, 91, 43, 7]"
168238,"[27, 74, 80, 92, 86]"
168238,"[27, 74, 80, 92, 86]"
168238,"[27, 74, 80, 92, 86]"
176868,"[64, 29, 46, 85, 5]"
180408,"[77, 18, 9, 51, 4]"
180408,"[77, 18, 9, 51, 4]"
180408,"[25, 19, 5, 91, 41]"
180408,"[77, 95, 2, 59, 41]"
180408,"[98, 70, 41, 56, 72]"
180408,"[83, 98, 70, 41, 56]"
181488,"[62, 29, 2, 78, 47]"
183570,"[28, 42, 4, 40, 90]"
183570,"[28, 91, 48, 59, 68]"
183570,"[48, 18, 0, 72, 91]"
183570,"[56, 70, 41, 98, 69]"
193234,"[81, 91, 41, 48, 64]"
193750,"[26, 73, 25, 84, 92]"
193750,"[47, 54, 48, 91, 41]"
193750,"[47, 54, 48, 91, 41]"
193750,"[47, 54, 48, 91, 41]"
193750,"[18, 42, 16, 91, 51]"
194089,"[68, 95, 18, 40, 9]"
203668,"[28, 59, 60, 18, 51]"
204186,"[96, 48, 37, 69, 99]"
204186,"[15, 10, 16, 32, 51]"
209812,"[71, 34, 18, 77, 54]"
213596,"[37, 92, 28, 77, 72]"
213828,"[64, 22, 2, 43, 67]"
214572,"[26, 73, 90, 84, 0]"
214572,"[91, 41, 48, 64, 65]"
221546,"[58, 90, 62, 57, 78]"
221546,"[58, 90, 62, 57, 78]"
221546,"[58, 90, 62, 57, 78]"
221546,"[91, 59, 37, 25, 18]"
226392,"[77, 4, 49, 50, 48]"
227228,"[48, 16, 61, 77, 50]"
227686,"[70, 39, 98, 19, 21]"
227686,"[1, 45, 79, 24, 88]"
227686,"[1, 45, 79, 24, 88]"
227686,"[0, 83, 96, 33, 9]"
230485,"[39, 31, 91, 4, 19]"
232123,"[32, 94, 42, 48, 6]"
232123,"[91, 41, 48, 64, 65]"
232392,"[56, 21, 98, 41, 70]"
232620,"[1, 45, 79, 24, 88]"
232620,"[28, 2, 18, 41, 37]"
232620,"[1, 45, 79, 24, 88]"
232620,"[39, 33, 91, 41, 48]"
237614,"[95, 9, 68, 91, 98]"
237614,"[62, 85, 57, 81, 75]"
237614,"[36, 85, 62, 58, 63]"
237614,"[56, 70, 98, 68, 91]"
237614,"[36, 85, 62, 58, 63]"
237664,"[55, 80, 32, 22, 50]"
237852,"[65, 66, 52, 87, 96]"
242243,"[97, 25, 70, 98, 64]"
245369,"[1, 45, 79, 24, 88]"
254684,"[46, 36, 58, 12, 29]"
254684,"[46, 36, 58, 12, 29]"
254684,"[46, 36, 58, 12, 29]"
254684,"[5, 11, 96, 63, 37]"
256598,"[65, 66, 44, 52, 92]"
261816,"[59, 26, 6, 82, 46]"
268048,"[56, 70, 41, 98, 69]"
281498,"[42, 48, 91, 18, 94]"
281939,"[97, 95, 91, 41, 48]"
285136,"[91, 41, 48, 64, 65]"
286531,"[41, 18, 37, 21, 19]"
287415,"[97, 98, 25, 21, 70]"
287415,"[41, 83, 17, 21, 91]"
291578,"[6, 18, 33, 50, 91]"
291578,"[91, 18, 95, 99, 41]"
291578,"[48, 91, 18, 95, 99]"
299037,"[5, 81, 82, 48, 36]"
307925,"[82, 36, 29, 62, 46]"
308040,"[11, 26, 91, 41, 48]"
308857,"[33, 6, 91, 41, 48]"
308857,"[2, 97, 37, 59, 68]"
309639,"[98, 55, 21, 95, 25]"
309639,"[91, 2, 32, 94, 77]"
313407,"[1, 45, 79, 24, 88]"
313407,"[1, 45, 79, 24, 88]"
313718,"[59, 12, 95, 85, 5]"
313718,"[12, 95, 59, 57, 81]"
322512,"[25, 64, 5, 11, 97]"
326906,"[98, 70, 41, 56, 72]"
328094,"[65, 66, 52, 87, 96]"
329213,"[65, 66, 52, 31, 25]"
330644,"[95, 69, 41, 68, 9]"
330644,"[96, 91, 41, 48, 64]"
338171,"[15, 48, 7, 91, 39]"
338171,"[29, 59, 95, 46, 63]"
338171,"[50, 49, 77, 17, 4]"
338171,"[29, 59, 95, 46, 63]"
338171,"[15, 48, 7, 91, 39]"
343315,"[64, 2, 29, 11, 58]"
343861,"[70, 98, 68, 91, 41]"
343861,"[2, 97, 37, 59, 68]"
352971,"[1, 45, 79, 24, 88]"
360654,"[98, 95, 18, 21, 68]"
360654,"[98, 95, 18, 21, 68]"
360754,"[33, 91, 41, 48, 64]"
362731,"[55, 25, 4, 28, 10]"
362731,"[16, 18, 19, 47, 42]"
362731,"[80, 30, 86, 44, 22]"
362731,"[15, 36, 9, 78, 82]"
362731,"[15, 36, 9, 78, 82]"
362731,"[42, 16, 15, 19, 18]"
370272,"[5, 72, 2, 25, 10]"
370272,"[5, 72, 2, 25, 10]"
375158,"[59, 95, 3, 11, 21]"
376578,"[1, 45, 79, 24, 88]"
378082,"[64, 97, 49, 37, 9]"
380056,"[46, 64, 30, 36, 78]"
386931,"[32, 39, 31, 91, 4]"
386931,"[32, 39, 31, 91, 4]"
386931,"[18, 42, 16, 91, 51]"
386931,"[18, 42, 16, 91, 51]"
391320,"[54, 77, 16, 40, 47]"
393439,"[80, 55, 83, 26, 94]"
393439,"[91, 41, 48, 64, 65]"
393439,"[91, 41, 48, 64, 65]"
393439,"[73, 91, 0, 28, 96]"
393439,"[1, 45, 79, 24, 88]"
393439,"[7, 91, 41, 48, 64]"
393439,"[7, 91, 41, 48, 64]"
393439,"[1, 45, 79, 24, 88]"
398082,"[91, 28, 59, 16, 41]"
398314,"[68, 59, 9, 95, 64]"
401106,"[91, 41, 48, 64, 65]"
401106,"[42, 50, 7, 91, 41]"
401106,"[40, 91, 41, 48, 64]"
401106,"[72, 2, 59, 28, 25]"
401865,"[95, 98, 91, 18, 41]"
402298,"[91, 41, 48, 64, 65]"
405325,"[91, 41, 48, 64, 65]"
405658,"[68, 39, 76, 50, 80]"
408423,"[84, 26, 73, 0, 90]"
411785,"[91, 41, 48, 64, 65]"
419892,"[62, 67, 44, 82, 57]"
420868,"[56, 70, 41, 98, 69]"
420868,"[62, 29, 44, 46, 61]"
421151,"[91, 50, 28, 13, 94]"
421151,"[91, 41, 48, 64, 65]"
431815,"[48, 91, 59, 28, 2]"
431815,"[64, 29, 46, 85, 5]"
431815,"[22, 62, 82, 36, 43]"
432346,"[19, 34, 71, 96, 3]"
432346,"[95, 69, 41, 68, 9]"
432346,"[95, 41, 37, 6, 55]"
432673,"[5, 68, 97, 59, 2]"
435364,"[98, 69, 95, 68, 21]"
437828,"[91, 55, 68, 18, 95]"
438159,"[91, 33, 83, 42, 4]"
439610,"[9, 2, 98, 50, 48]"
439610,"[37, 92, 28, 77, 72]"
439610,"[46, 29, 58, 82, 62]"
439610,"[46, 29, 58, 82, 62]"
439610,"[5, 25, 29, 46, 68]"
440094,"[99, 72, 10, 68, 17]"
444939,"[46, 62, 7, 59, 36]"
444939,"[17, 73, 25, 98, 37]"
444939,"[64, 25, 99, 5, 22]"
444939,"[59, 46, 36, 15, 61]"
444939,"[2, 29, 59, 68, 64]"
444939,"[2, 25, 68, 46, 91]"
444939,"[2, 25, 68, 46, 91]"
444939,"[59, 46, 36, 15, 61]"
447610,"[47, 91, 48, 39, 40]"
448219,"[65, 66, 64, 52, 87]"
449967,"[6, 89, 15, 82, 30]"
449967,"[77, 4, 49, 50, 48]"
449967,"[1, 45, 79, 24, 88]"
449967,"[26, 65, 69, 96, 89]"
449967,"[77, 4, 49, 50, 48]"
449967,"[77, 4, 49, 50, 48]"
449967,"[1, 45, 79, 24, 88]"
450208,"[54, 34, 96, 0, 41]"
455270,"[37, 4, 2, 48, 33]"
462586,"[65, 66, 31, 52, 92]"
462586,"[65, 66, 31, 52, 92]"
462586,"[65, 66, 31, 52, 92]"
464130,"[91, 41, 48, 64, 65]"
481888,"[91, 95, 69, 13, 94]"
481888,"[48, 77, 94, 91, 41]"
481888,"[84, 41, 83, 90, 9]"
481888,"[91, 18, 6, 9, 42]"
481888,"[91, 95, 69, 13, 94]"
481888,"[0, 84, 96, 97, 41]"
486119,"[55, 95, 37, 91, 21]"
486119,"[56, 70, 41, 98, 69]"
486119,"[95, 37, 91, 21, 41]"
486119,"[56, 70, 41, 98, 69]"
486119,"[91, 59, 37, 25, 18]"
486119,"[95, 98, 91, 18, 41]"
486119,"[91, 59, 37, 25, 18]"
486119,"[70, 98, 41, 56, 72]"
486119,"[56, 70, 41, 98, 69]"
486119,"[56, 70, 41, 98, 69]"
486119,"[98, 70, 41, 56, 72]"
486119,"[95, 98, 91, 18, 41]"
486119,"[98, 70, 41, 56, 72]"
486119,"[98, 70, 41, 56, 72]"
486119,"[21, 98, 77, 17, 40]"
486119,"[70, 98, 72, 55, 18]"
486119,"[70, 98, 72, 55, 18]"
486119,"[70, 98, 72, 55, 18]"
486119,"[70, 98, 72, 55, 18]"
486119,"[1, 45, 79, 24, 88]"
486119,"[1, 45, 79, 24, 88]"
486135,"[46, 36, 29, 62, 64]"
486135,"[63, 26, 57, 81, 92]"
486877,"[26, 38, 67, 46, 81]"
489132,"[1, 45, 79, 24, 88]"
497748,"[36, 29, 2, 64, 15]"
497748,"[77, 49, 91, 4, 72]"
497748,"[16, 91, 30, 41, 48]"
510024,"[43, 29, 90, 16, 25]"
516445,"[55, 80, 32, 22, 50]"
521321,"[25, 64, 5, 11, 97]"
521584,"[59, 2, 85, 12, 10]"
521584,"[27, 74, 80, 92, 86]"
521584,"[27, 74, 80, 92, 86]"
521584,"[27, 74, 80, 92, 86]"
521584,"[27, 74, 80, 92, 86]"
525903,"[25, 59, 28, 95, 91]"
526439,"[70, 39, 98, 19, 21]"
530692,"[25, 64, 5, 11, 97]"
536569,"[20, 92, 99, 82, 78]"
537127,"[71, 1, 45, 79, 24]"
545438,"[17, 83, 70, 41, 98]"
550961,"[28, 91, 48, 59, 68]"
550961,"[28, 91, 48, 59, 68]"
550961,"[98, 69, 95, 68, 21]"
550961,"[71, 34, 18, 77, 54]"
552136,"[59, 95, 3, 11, 21]"
552136,"[97, 25, 70, 98, 64]"
555964,"[46, 30, 58, 80, 61]"
555964,"[46, 30, 58, 80, 61]"
555964,"[46, 30, 58, 80, 61]"
555964,"[91, 41, 48, 64, 65]"
555964,"[33, 90, 20, 6, 42]"
555964,"[59, 42, 91, 15, 6]"
561186,"[59, 9, 83, 99, 5]"
562916,"[46, 81, 64, 15, 57]"
563579,"[59, 41, 21, 72, 91]"
563579,"[16, 48, 28, 6, 47]"
563579,"[16, 48, 28, 6, 47]"
563579,"[18, 33, 95, 91, 41]"
563579,"[16, 48, 28, 6, 47]"
563579,"[59, 41, 21, 72, 91]"
567166,"[77, 49, 91, 4, 72]"
571981,"[72, 77, 16, 6, 28]"
571981,"[91, 48, 17, 50, 55]"
572194,"[91, 95, 69, 13, 94]"
572194,"[91, 16, 7, 23, 42]"
572194,"[91, 90, 28, 48, 7]"
573396,"[28, 7, 91, 11, 18]"
573396,"[28, 7, 91, 11, 18]"
573396,"[28, 7, 91, 11, 18]"
573396,"[28, 7, 91, 11, 18]"
573396,"[28, 7, 91, 11, 18]"
573396,"[48, 40, 50, 76, 61]"
580206,"[98, 56, 70, 55, 41]"
580206,"[49, 34, 48, 71, 91]"
581342,"[56, 70, 41, 98, 69]"
581722,"[59, 48, 28, 91, 19]"
588470,"[95, 18, 98, 68, 21]"
589677,"[43, 91, 41, 48, 64]"
589677,"[91, 16, 50, 39, 15]"
589677,"[43, 91, 41, 48, 64]"
591825,"[21, 13, 18, 47, 72]"
592624,"[48, 16, 28, 49, 18]"
597988,"[21, 95, 56, 19, 49]"
599103,"[26, 34, 33, 17, 60]"
600126,"[91, 41, 48, 64, 65]"
600126,"[81, 82, 3, 30, 89]"
600639,"[42, 16, 48, 4, 91]"
601056,"[82, 67, 46, 3, 29]"
603298,"[48, 77, 94, 91, 41]"
603298,"[50, 47, 13, 76, 18]"
603298,"[91, 41, 10, 49, 6]"
603659,"[64, 97, 46, 8, 35]"
603659,"[59, 68, 91, 41, 48]"
606874,"[46, 36, 58, 12, 29]"
608297,"[84, 34, 96, 0, 99]"
612520,"[56, 70, 41, 98, 69]"
614234,"[0, 31, 96, 25, 91]"
615064,"[56, 4, 49, 48, 98]"
622841,"[11, 46, 82, 5, 25]"
622841,"[82, 53, 91, 41, 48]"
622841,"[2, 11, 29, 59, 46]"
622841,"[64, 97, 46, 8, 35]"
622841,"[99, 91, 41, 48, 64]"
622841,"[13, 95, 51, 25, 77]"
622841,"[13, 95, 51, 25, 77]"
622841,"[98, 41, 70, 5, 9]"
622841,"[1, 45, 79, 24, 88]"
622841,"[64, 97, 46, 8, 35]"
624779,"[94, 15, 32, 82, 55]"
633306,"[25, 21, 5, 15, 72]"
633817,"[12, 92, 57, 58, 63]"
634302,"[30, 63, 58, 90, 91]"
635698,"[28, 98, 47, 15, 16]"
635698,"[28, 98, 47, 15, 16]"
638042,"[61, 16, 78, 85, 15]"
638042,"[73, 91, 0, 28, 96]"
638042,"[73, 91, 0, 28, 96]"
639996,"[91, 41, 48, 64, 65]"
640924,"[12, 57, 0, 26, 20]"
640924,"[46, 58, 64, 82, 99]"
640924,"[46, 58, 64, 82, 99]"
640924,"[9, 97, 25, 64, 8]"
642317,"[41, 5, 10, 90, 93]"
642317,"[0, 55, 50, 4, 48]"
642317,"[50, 33, 91, 19, 16]"
642874,"[40, 48, 77, 94, 76]"
642874,"[91, 41, 48, 64, 65]"
643038,"[7, 91, 41, 48, 64]"
646546,"[18, 83, 91, 48, 40]"
646546,"[48, 91, 41, 64, 65]"
646546,"[48, 81, 50, 82, 42]"
651691,"[28, 32, 41, 37, 83]"
651691,"[5, 11, 37, 64, 75]"
652457,"[91, 41, 48, 64, 65]"
652457,"[48, 83, 5, 25, 10]"
652457,"[6, 13, 17, 42, 50]"
652457,"[50, 48, 83, 5, 25]"
652964,"[95, 18, 98, 68, 21]"
655600,"[95, 18, 68, 9, 41]"
655600,"[42, 47, 50, 91, 15]"
656258,"[68, 18, 51, 91, 41]"
656258,"[91, 41, 48, 64, 65]"
656876,"[56, 70, 41, 98, 69]"
656876,"[82, 36, 29, 2, 64]"
656876,"[46, 22, 14, 62, 15]"
656876,"[46, 64, 82, 99, 36]"
656876,"[25, 64, 5, 11, 97]"
656876,"[12, 82, 46, 36, 29]"
656876,"[56, 70, 41, 98, 69]"
656876,"[45, 1, 79, 24, 88]"
657097,"[91, 51, 93, 42, 41]"
659629,"[26, 65, 52, 87, 66]"
665688,"[6, 13, 50, 55, 48]"
665688,"[1, 45, 79, 24, 88]"
665688,"[1, 45, 79, 24, 88]"
665688,"[0, 31, 96, 25, 91]"
665688,"[56, 70, 41, 98, 69]"
667039,"[91, 25, 28, 59, 42]"
669438,"[54, 77, 16, 40, 47]"
671180,"[78, 67, 30, 82, 62]"
671180,"[46, 36, 29, 62, 64]"
671526,"[65, 66, 52, 31, 25]"
671526,"[11, 90, 91, 77, 28]"
672922,"[90, 91, 28, 48, 7]"
672922,"[91, 90, 28, 48, 7]"
672922,"[59, 42, 47, 16, 91]"
672922,"[42, 47, 16, 91, 7]"
674501,"[91, 41, 48, 64, 65]"
675288,"[59, 94, 29, 63, 34]"
678183,"[45, 1, 79, 24, 88]"
680452,"[0, 55, 50, 4, 48]"
682027,"[1, 54, 10, 51, 48]"
682027,"[1, 54, 10, 51, 48]"
683937,"[49, 1, 45, 79, 24]"
707683,"[29, 82, 25, 30, 11]"
708121,"[46, 36, 2, 62, 5]"
714599,"[99, 51, 91, 11, 7]"
716513,"[1, 45, 79, 24, 88]"
722609,"[91, 41, 48, 64, 65]"
742333,"[91, 42, 83, 48, 41]"
746899,"[65, 66, 52, 87, 96]"
746899,"[65, 52, 87, 26, 66]"
752955,"[25, 72, 16, 59, 91]"
752955,"[25, 33, 11, 98, 83]"
752955,"[97, 98, 25, 21, 70]"
752955,"[97, 98, 25, 21, 70]"
752955,"[25, 33, 11, 98, 83]"
752955,"[25, 33, 11, 98, 83]"
752955,"[98, 59, 21, 49, 25]"
752955,"[97, 98, 25, 21, 70]"
752955,"[97, 98, 25, 21, 70]"
752955,"[25, 33, 11, 98, 83]"
752955,"[25, 33, 11, 98, 83]"
752955,"[25, 33, 11, 98, 83]"
752955,"[25, 33, 11, 98, 83]"
752955,"[25, 33, 11, 98, 83]"
752955,"[25, 33, 11, 98, 83]"
752955,"[91, 41, 48, 64, 65]"
753036,"[82, 99, 30, 81, 78]"
759069,"[91, 41, 48, 64, 65]"
761053,"[5, 25, 29, 46, 68]"
761053,"[91, 77, 32, 48, 50]"
770734,"[37, 18, 91, 41, 48]"
770734,"[91, 48, 47, 41, 64]"
770734,"[91, 41, 48, 64, 65]"
770734,"[95, 18, 98, 68, 21]"
770734,"[55, 9, 21, 18, 68]"
770734,"[83, 28, 43, 16, 91]"
770734,"[55, 25, 4, 28, 10]"
771385,"[2, 25, 68, 59, 46]"
771385,"[16, 28, 91, 41, 48]"
771385,"[2, 25, 22, 64, 11]"
771385,"[46, 29, 47, 11, 28]"
771385,"[16, 28, 91, 41, 48]"
771385,"[2, 25, 22, 64, 11]"
771385,"[91, 41, 48, 64, 65]"
771385,"[91, 41, 48, 64, 65]"
771385,"[91, 41, 48, 64, 65]"
771385,"[90, 60, 93, 30, 91]"
771385,"[16, 28, 91, 41, 48]"
771385,"[29, 91, 41, 48, 64]"
771385,"[91, 41, 48, 64, 65]"
771385,"[58, 64, 2, 25, 6]"
771385,"[2, 25, 22, 64, 11]"
771385,"[91, 41, 48, 64, 65]"
771385,"[16, 28, 91, 41, 48]"
771385,"[58, 64, 2, 25, 6]"
771385,"[2, 25, 22, 64, 11]"
773105,"[9, 59, 55, 41, 99]"
777152,"[91, 41, 48, 64, 65]"
777447,"[70, 39, 98, 19, 21]"
782755,"[61, 38, 67, 81, 82]"
782755,"[58, 80, 64, 44, 82]"
782755,"[43, 12, 91, 41, 48]"
786757,"[20, 58, 93, 78, 91]"
786757,"[97, 5, 64, 12, 98]"
786757,"[82, 9, 10, 2, 62]"
789756,"[95, 98, 33, 2, 18]"
789756,"[16, 77, 40, 11, 28]"
789756,"[49, 4, 23, 59, 21]"
789756,"[18, 95, 91, 48, 16]"
789756,"[42, 95, 33, 16, 19]"
789756,"[42, 95, 33, 16, 19]"
789756,"[71, 34, 18, 77, 54]"
793136,"[91, 41, 48, 64, 65]"
795806,"[70, 19, 56, 37, 41]"
795806,"[70, 19, 56, 37, 41]"
795806,"[98, 68, 4, 70, 83]"
795806,"[70, 19, 56, 37, 41]"
795806,"[98, 70, 41, 56, 72]"
795806,"[98, 70, 41, 56, 72]"
795806,"[18, 98, 19, 4, 55]"
795806,"[98, 70, 41, 56, 72]"
795806,"[21, 98, 70, 41, 56]"
796436,"[0, 31, 96, 25, 91]"
796436,"[65, 66, 31, 52, 92]"
796436,"[95, 42, 91, 4, 16]"
799923,"[49, 9, 95, 68, 2]"
804413,"[20, 36, 29, 61, 67]"
804413,"[82, 2, 61, 78, 91]"
806760,"[2, 97, 37, 59, 68]"
806760,"[59, 46, 95, 75, 68]"
806951,"[91, 94, 21, 59, 48]"
806951,"[91, 94, 21, 59, 48]"
806951,"[57, 67, 64, 75, 58]"
806951,"[64, 2, 29, 11, 58]"
806951,"[64, 2, 29, 11, 58]"
806951,"[91, 41, 48, 64, 65]"
806951,"[91, 41, 48, 64, 65]"
807357,"[9, 97, 25, 64, 8]"
807357,"[68, 59, 9, 95, 64]"
807357,"[46, 82, 61, 48, 99]"
809957,"[97, 5, 64, 12, 98]"
812640,"[91, 41, 48, 64, 65]"
812640,"[47, 91, 50, 48, 18]"
815701,"[25, 64, 5, 11, 97]"
815701,"[87, 90, 91, 41, 48]"
815701,"[25, 64, 5, 11, 97]"
815949,"[95, 98, 91, 18, 41]"
819783,"[99, 6, 9, 97, 2]"
819783,"[64, 46, 99, 59, 85]"
819938,"[67, 58, 91, 41, 48]"
819938,"[67, 58, 91, 41, 48]"
822615,"[64, 46, 36, 57, 99]"
822615,"[36, 58, 5, 99, 30]"
827325,"[91, 41, 48, 64, 65]"
830358,"[5, 11, 18, 59, 28]"
834880,"[9, 91, 41, 48, 64]"
835028,"[60, 81, 61, 12, 46]"
835028,"[61, 16, 78, 85, 15]"
837141,"[15, 42, 91, 41, 48]"
837141,"[16, 39, 73, 91, 6]"
837141,"[90, 42, 40, 48, 13]"
840801,"[64, 97, 49, 37, 9]"
840801,"[99, 91, 41, 48, 64]"
840801,"[36, 67, 44, 58, 78]"
840801,"[90, 58, 78, 91, 41]"
840801,"[58, 2, 29, 82, 62]"
840801,"[58, 2, 29, 82, 62]"
840801,"[91, 41, 48, 64, 65]"
840801,"[68, 59, 9, 95, 64]"
840801,"[98, 95, 18, 21, 68]"
840801,"[9, 97, 25, 64, 8]"
844122,"[95, 98, 91, 18, 41]"
844122,"[98, 69, 95, 68, 21]"
844418,"[73, 98, 91, 41, 48]"
844418,"[68, 2, 99, 91, 41]"
844418,"[49, 9, 95, 68, 2]"
844418,"[5, 93, 90, 58, 29]"
844418,"[63, 46, 44, 29, 86]"
844418,"[68, 59, 9, 95, 64]"
847189,"[40, 13, 32, 42, 48]"
857632,"[50, 42, 91, 16, 19]"
857676,"[1, 79, 45, 24, 19]"
863255,"[37, 97, 69, 21, 41]"
865554,"[91, 48, 13, 4, 72]"
865564,"[83, 68, 16, 11, 37]"
865564,"[83, 68, 16, 11, 37]"
865564,"[49, 29, 59, 95, 25]"
865893,"[50, 91, 41, 48, 64]"
865893,"[48, 16, 28, 49, 18]"
866232,"[99, 95, 59, 48, 25]"
873940,"[9, 25, 51, 41, 68]"
873940,"[13, 5, 73, 42, 48]"
874900,"[36, 85, 62, 58, 63]"
875281,"[25, 64, 5, 11, 97]"
875281,"[78, 5, 64, 11, 46]"
